,State,RRMSE_cases,RRMSE_deaths,max_cases,min_cases,medium_cases,average_cases,standard_error_cases,max_deaths,min_deaths,medium_deaths,average_deaths,standard_error_deaths
0,Alabama,0.035743832458922944,0.03188714538536568,307020.4500271097,77497.5510946748,174547.32991663812,178438.6233839232,13414.360636581016,11673.81911014604,2031.9404394270343,6006.407202980923,6233.9152352937945,555.7494500769194
1,Alaska,0.033832604857400216,0.02795114613163403,235977.44297903663,110539.29363841238,188281.30400897792,179360.97529483063,7798.624137840078,4822.063553528614,2246.230021329046,3895.036532542947,3714.3271770112715,152.59093219505002
2,Arizona,0.03477291998034985,0.03317713164406559,323074.35360398825,75270.47013503256,170164.36724880888,178434.25106013616,14365.111349785187,14263.662321601621,2332.2020965731454,6898.135838241217,7325.995242198874,679.9395527490606
3,Arkansas,0.029464096789243843,0.030975612534690434,295749.8220379934,75739.94650867977,182015.04834834774,179697.84922959242,13269.573376239232,6378.702534800682,1410.321648841325,3506.669957249332,3610.3498084201133,293.91675254348934
4,California,0.027219046715066083,0.01911701119420417,306321.58205948066,79514.49451034497,176044.8148948798,179654.4873189192,13274.779806441968,12118.625021531769,2224.484665912064,6590.904048957663,6701.204307638364,570.0880322657002
5,Colorado,0.027170787369843567,0.013547967295551147,296533.25567282696,82201.5825982207,178359.5403341197,179517.1098828953,12696.415597960906,14775.7515805426,2963.0820704106904,8410.159607481737,8446.712663621567,685.1945409482643
6,Connecticut,0.028528069640990417,0.01670302484826977,296575.8380735246,72222.2955974999,181305.65660691238,179293.8254848101,13193.71430154953,24180.13737462707,3307.5998094578345,12877.732869468002,12986.622218743905,1214.7672183365185
7,Delaware,0.028632339628334266,0.019622100882900645,331381.5698534931,58722.447901198015,174435.6429969049,179466.6920069242,16123.170846049426,11092.783156496462,1287.1121448456104,5098.36537904728,5443.270368223997,568.4118837205315
8,District of Columbia,0.03360389985794652,0.016645597552823983,316220.9254216585,69325.13981254346,173795.3654308601,178860.6907505848,14627.578065597405,15546.827886010704,1830.2447637189277,7244.9729090695855,7686.396006030715,796.7995730772236
9,Florida,0.03072405988794006,0.029661522836817913,272509.9542659645,90394.74181595372,182887.93217525753,179433.07659048162,10819.62722850786,10294.906721035475,2045.1834472911542,5871.616881078695,5894.778832087634,485.2860166867389
10,Georgia,0.032700053009029506,0.0226574675249987,291708.4656056996,80102.48599255944,180168.80674946654,179165.46224573412,12555.352566347905,12449.637441263178,2920.5353867383574,7462.046539043671,7430.337313325711,555.1793203524752
11,Hawaii,0.03199439960610219,0.021837157517033218,227121.86187711926,115545.94494669646,189707.92146836623,179542.93900487613,6967.764675246258,5503.964261892589,1550.1509119221755,3826.6502985470456,3636.6680447910794,243.39607969735022
12,Idaho,0.033406660389301825,0.02639419756549079,246674.07601829746,106608.9015690587,185750.61078513242,179280.67841605173,8575.880625872938,7101.264761628639,2013.6852261427762,4967.155725408267,4715.743156044928,304.26131967873266
13,Illinois,0.02330344748879316,0.016944448203125982,339406.6010303169,66598.51479400396,170619.13674840625,179993.80034234817,15745.358085013102,14705.247072520859,2199.5553371688775,7270.986664494563,7603.496978703411,707.6052508259916
14,Indiana,0.027699418490130946,0.019530299513577837,318482.3866256247,71463.24725491264,174936.28804532188,179407.10275208758,14396.5473371621,19156.16433306924,3421.464700593365,10301.477778972654,10495.145933056343,902.9528951777273
