,State,RRMSE_cases,RRMSE_deaths,max_cases,min_cases,medium_cases,average_cases,standard_error_cases,max_deaths,min_deaths,medium_deaths,average_deaths,standard_error_deaths
0,Alabama,0.019479736712507432,0.014296609502228264,454449.9315770141,188923.74898241705,302822.51987731433,306724.0681690093,15181.40964667142,15649.797737497289,7285.074396901326,11526.314902325717,11381.379496894395,469.8684007157252
1,Alaska,0.017490133272809773,0.01437218557357776,408627.2735997399,248161.7139311395,294735.6732385305,307034.834383111,9107.20058523016,6461.11674496045,5095.846648163682,5787.566795024899,5757.043264921494,76.55423376630375
2,Arizona,0.026293322399160605,0.009212467926511597,499309.9730970588,180081.61005990746,290385.91737414326,305965.8189628697,17743.263736654335,20139.93436860758,8164.883816128643,13752.897962833138,13775.170749420353,644.0995788909299
3,Arkansas,0.02443098967356655,0.019329968596826445,487744.1996192593,185144.35268329718,292543.1679550854,306204.47217242146,17069.204781410997,8320.645377773993,3950.886224739837,5946.737080908062,5934.4986282145965,247.5271166246388
4,California,0.013039839401955291,0.008070916780143045,442954.72369284113,198917.36975058157,304970.42748852423,308377.4165974391,13771.30050209345,16140.93068493896,7859.538200848762,11912.43430067589,11869.784299655099,455.5619530807565
5,Colorado,0.0165209016394709,0.012071839458651935,387345.60828586074,224519.1368476399,312492.7941346882,307206.1890632345,9533.47890572704,20990.475787023675,11297.183834884281,16893.244441386814,16481.427920306807,550.8446606843559
6,Connecticut,0.013725121497589412,0.007669606201326717,372768.67063056165,233736.70097751307,313545.0854904741,307342.49348933506,8055.78386595426,33736.819376120744,19308.066787434313,27879.28994185011,27216.981355364383,811.196508301496
7,Delaware,0.020086627605082494,0.01622392264998465,393806.45295990806,207203.92394915674,316145.9678260038,306575.88473680924,11076.370923035114,15181.176448725915,6967.026183427362,11617.877053946548,11320.824139258013,470.88018219832236
8,District of Columbia,0.020808165828245795,0.011663729106894009,392497.2918687028,212310.20425475147,314058.8750225764,306378.2105946153,10727.420764968161,20476.860000609297,10405.163737425542,16333.238768961044,15879.101150105509,573.30252664057
9,Florida,0.015836598141840234,0.010875335252120658,404745.0856378649,226688.11859709772,305619.68955158535,307407.7737893959,10097.720763411282,16779.80611677352,8694.884772834523,12907.534229876275,12734.348340689281,451.1748068779635
10,Georgia,0.015430777313420832,0.012389592098079135,399928.6402086522,221060.0580502602,309503.2692045864,307356.80910933146,10305.178314697083,17568.210225880128,9455.611648750675,13686.212602139018,13510.242180338011,461.20440189830896
11,Hawaii,0.011135972759627483,0.014052009728755477,335511.8904773005,278665.9411870994,309847.4092107022,307719.94650363835,3376.5228718145067,8468.968987289016,6748.154714900085,8011.174953022542,7788.559862183605,106.73193950546764
12,Idaho,0.01420579926922927,0.012887705848006276,376970.79218981974,244513.5946941167,308596.88501019706,307415.8463949489,7733.868694546701,10341.758482684061,7056.936333019747,9106.88009666556,8867.407414157771,192.43161685381594
13,Illinois,0.011658040387881803,0.013471313299968821,408213.04225432413,202809.3454710602,314344.3074755485,308064.96298405,11761.221873379289,18704.552677951793,8765.204445542728,14042.273098389534,13812.674505933228,564.5905835146747
14,Indiana,0.017205182595909158,0.011125187441879866,401876.05657551746,212456.58117594512,311368.2080131824,306830.38767737674,10961.961964250106,24129.032702098484,12833.263084995191,19133.66953315006,18744.48949738635,638.0074165841032
15,Iowa,0.022183339550017073,0.017259629095661946,429375.7315032449,185779.5161422187,311958.8474529623,306422.59622870956,14201.056623887047,11570.185004610501,4144.195510584269,7973.03400675145,7819.701939538926,428.9190412582849
16,Kansas,0.01978416037838004,0.01802171880696663,402893.3802575573,201955.58497465684,315438.474295645,307011.3452415097,11759.096170847673,9107.861823833953,5544.276449433852,7566.753357818825,7405.133870012257,209.41162095973095
17,Kentucky,0.02027658755571897,0.012446099825853096,420202.9481946604,203580.96182653992,308156.6625454335,306608.27384231077,12470.861429002736,18262.298016915945,9816.987324194248,14264.464294930127,14063.681187999537,477.98070389509115
18,Louisiana,0.012528675641623797,0.007975758208430331,372382.8837501191,245694.66779386404,309437.861175433,307462.12803799927,7317.813648179095,25325.139642094575,16276.408738678103,21574.772579265795,21168.87737443542,505.9837361180763
19,Maine,0.020382591368631207,0.010389417164375987,411735.0296892756,207144.65839294237,310266.2090584242,306519.21798282606,12110.258946612978,16027.373890410221,9004.990263617747,12582.484233063353,12477.824813594307,401.8451752465275
20,Maryland,0.01635775167758143,0.011993958354175232,422560.2400544103,194176.1551014172,311855.88665061095,307130.68209850485,13217.480433518545,20139.5711758864,9574.031034829362,15308.446127649524,15012.241229431915,597.1191011868855
21,Massachusetts,0.012033694008600033,0.008313558841815732,378092.2040509402,231456.73168308503,312927.59539130435,307699.6999616777,8438.94389735868,25924.970096872,13705.715833496832,20627.207594899075,20206.73994406384,685.3462966524739
22,Michigan,0.013779139441213898,0.006327385025226426,375476.3973671192,243638.64488936221,308953.8167762064,307432.0168428087,7563.029029188296,34582.908360958376,21858.342380688082,28964.86947977861,28565.182475243542,704.2507669218544
23,Minnesota,0.02328969039173267,0.014470137761590176,471732.3456291023,150090.07883300254,311338.3988411286,306439.137253572,18716.885233695473,20772.582531683565,7919.7079907472435,14049.17751466209,14056.527277294055,729.1224838749631
